basicName,subTitleName,rating,openDate,openTime,closeDate,closeTime,recommendStayTime,address,price,label,review,url,img
Taipei Palace Museum,臺北故宮博物院, 4.7/5,['Tuesday-Sunday:'],['09:00-17:00 (Tickets available until:16:30)'],Monday:,Closed all day,3-4 hours,"No. 221, Sec 2, Zhi Shan Rd, Shilin District, Taipei City, Taiwan 111",$4.58 ,觀光,This place is valuable for everyone who's love the Taiwan's history and culture. I love this place so much.,https://www.trip.com/travel-guide/attraction/taipei/taipei-palace-museum-80595?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g4/M01/72/7D/CggYHFY7F7iAF6-bAAtq3wFHDJY069_C_180_240_Q70.jpg?proc=source%2ftrip
TAIPEI 101,台北101大樓, 4.6/5,['Open daily'],['10:00-21:00'],N/A,N/A,2-4 hours,"No. 7, Section 5, Xinyi Rd, Xinyi District, Taipei City, Taiwan 110",Free,觀光,An incredible place to visit this is used to be the tallest building in the world.,https://www.trip.com/travel-guide/attraction/taipei/taipei-101-10758289?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100l0g0000007s1t1ADA4_C_180_240_Q70.jpg?proc=source%2ftrip
Shilin Night Market,士林夜市, 4.5/5,['Open daily'],['16:00-00:00'],N/A,N/A,2-3 hours,"No. 101 Jihe Road, Shilin District, Taipei City",Free,餐飲,"dont forget to visit here when you travel to Taipei, it is a famous night market in Taipei. there are many food courts and fried chicken is one of delicious things",https://www.trip.com/travel-guide/attraction/taipei/shilin-night-market-10524212?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100o1f000001gp48p077E_C_180_240_Q70.jpg?proc=source%2ftrip
Taipei Zoo,台北市立動物園, 4.8/5,['Open daily'],['09:00-17:00 (Latest entry time:16:00)'],N/A,N/A,2-3 hours,"No. 30, Sec.2, Xinguang Rd., Wenshan Dist., Taipei City 116016",$2.73 ,活動,"A zoo experience beyond expectations, especially in a large cage, it seems that an ecological park has a very immersive experience, and there is no need to worry about the people chasing you. The road is very wide. There are many park animals. There are many places to receive water in the park. Just entered the door and there is a map to take. It is very convenient. Taipei Zoo is really worth a visit.",https://www.trip.com/travel-guide/attraction/taipei/taipei-zoo-80594?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1lo3w12000c6n3ma502C9_C_180_240_Q70.jpg?proc=source%2ftrip
MaoKong,貓空, 4.5/5,['Open daily'],['09:00-21:00'],N/A,N/A,2-3 hours,"Wenshan District, Taipei City, Taiwan 116",Free,活動,"Take the cable car to enjoy the scenery of Taipei City, along the way is also green, the mountain wind is relatively large, it feels cool. There are many shops selling tea, and the clerks are warm and friendly.",https://www.trip.com/travel-guide/attraction/taipei/maokong-85951?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100v1f000001h1aosAA77_C_180_240_Q70.jpg?proc=source%2ftrip
Maokong Gondola,貓空纜車, 4.7/5,"['Tuesday-Friday:', 'Saturday-Sunday:']","['09:00-21:00', '09:00-22:00']",Monday:,Closed all day,1-2 hours,"No. 8, Section 2, Xinguang Road, Wenshan District, Taipei, Taiwan",$7.38 ,活動,"Visited Maokong and admire the view of Taipei, especially when you can see Taipei 101 when you are standing on the top of the mountain!",https://www.trip.com/travel-guide/attraction/taipei/maokong-gondola-10572530?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100i1f000001gp4tm4F48_C_180_240_Q70.jpg?proc=source%2ftrip
Chiang Kai-shek Memorial Hall,國立中正紀念堂, 4.6/5,['Open daily'],['9:00-18:00'],N/A,N/A,1 hour,"No. 21, Zhongshan South Road, Zhongzheng District, Taipei City",Free,觀光,Came here in the late afternoon so it was cooler but the sky was just beautiful with such a large landscape of garden plots and sight of memorial hall. The contrast of white building against the blue sky was perfect for photography. Watch the flag lowering at CKS.,https://www.trip.com/travel-guide/attraction/taipei/chiang-kai-shek-memorial-hall-80598?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100a0m000000drveuCE84_C_180_240_Q70.jpg?proc=source%2ftrip
Liberty Square,自由廣場, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,1 hour,"No. 21, Zhongshan S Rd, Zhongzheng District, Taipei City, Taiwan 100",Free,觀光,"The main entrance of Liberty Square is the most magnificent archway in Taiwan and an important place for Taipei's civic arts and leisure activities. The square often hosts various large concerts and concerts, and the ""Taipei Lighting Festival"" is also held here every year. Theatre and concert halls on both sides are the main town of Taipei's literary and artistic performances. Peace Pigeons are frequent visitors to Liberty Square, where they can take photos, interact and feed. As night fell, the tall archway was illuminated by bright yellow lights, the golden wall was brilliant, majestic.",https://www.trip.com/travel-guide/attraction/taipei/liberty-square-10522872?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p1f000001gpfdcD291_C_180_240_Q70.jpg?proc=source%2ftrip
National Dr. Sun Yat-Sen Memorial Hall,孫中山紀念館, 4.6/5,['Open daily'],['9:00-18:00'],N/A,N/A,2-3 hours,"No. 505號, Section 4, Ren'ai Rd, Xinyi District, Taipei City, Taiwan 110",Free,觀光,A memorial hall im dedication to the contribution of Dr Sun Yat Sen in Taipei.,https://www.trip.com/travel-guide/attraction/taipei/national-dr-sun-yat-sen-memorial-hall-80593?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100e1f000001gszgpCBFD_C_180_240_Q70.jpg?proc=source%2ftrip
Taipei 101 Observatory,台北101觀景台, 4.6/5,['Open daily'],['10:00-21:00 (Latest entry time:20:15)'],N/A,N/A,2-3 hours,"89th Floor, No. 7, Section 5, Xinyi Road, Xinyi District, Taipei City",$18.00 ,觀光,"The second time I came to Taipei 101 Building, there are still so many tourists. This is one of the classic attractions that must be played in Taipei. No matter whether you think it is interesting or not, you have to check in. The surrounding business districts are also good.",https://www.trip.com/travel-guide/attraction/taipei/taipei-101-observatory-23865324?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104s120008c1i1tj7E6F_C_180_240_Q70.jpg?proc=source%2ftrip
Yangmingshan National Park,陽明山國家公園, 4.7/5,['Open daily'],['Open all day'],N/A,N/A,2-4 hours,"1-20 Zhuzihu Road, Yangming Mountain, Taipei",Free,活動,"Though Yangmingshan is at a far end of Taipei city, it is well worth a day trip especially during spring and autumn period for cherry blossoms and autumn foliage, do check out qiangtiangang",https://www.trip.com/travel-guide/attraction/taipei/yangmingshan-national-park-80592?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106012000etm4da78596_C_180_240_Q70.webp?proc=source%2ftrip
Longshan Temple,艋舺龍山寺, 4.7/5,['Open daily'],['06:00-21:30'],N/A,N/A,1-2 hours,"No. 211, Guangzhou St, Wanhua District, Taipei City, Taiwan 10853",Free,觀光,"Visiting Longshan Temple in Taiwan offers a rich cultural experience. The temple, dating back to 1738, showcases intricate architecture, vibrant religious rituals, and a serene atmosphere. Explore the ornate decorations, witness traditional ceremonies, and immerse yourself in the local history and spirituality. Don't forget to respect the customs and take in the unique blend of Buddhist, Taoist, and folk religious elements at this iconic site.",https://www.trip.com/travel-guide/attraction/taipei/longshan-temple-80599?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100c1f000001gsvdu8862_C_180_240_Q70.webp?proc=source%2ftrip
Chiang Kai-Shek Shilin Residence,士林官邸正館, 4.7/5,"['Tuesday-Sunday:', 'Tuesday-Sunday:']","['09:30-12:00 (Latest entry time:11:50; Tickets available until:11:50)', '13:30-17:00 (Latest entry time:16:50; Tickets available until:16:50)']",Monday:,Closed all day,2-3 hours,"No. 60, Fulin Rd., Shilin Dist., Taipei City 111005 , Taiwan",$2.75 ,觀光,"Shilin's official residence is worth a visit. Jiang Gong and Song Meiling lived here for a short time, and Jiang Gong died here. By restoring the layout and furnishings at that time, they learned about their life situation, and the interpreter was particularly attentive and patient. recommend!",https://www.trip.com/travel-guide/attraction/taipei/chiang-kai-shek-shilin-residence-85906?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106a120004e61n89EFAD_C_180_240_Q70.webp?proc=source%2ftrip
Raohe Night Market,饒河街夜市, 4.6/5,['Open daily'],['17:00-23:00'],N/A,N/A,1-3 hours,"Raohe St, Songshan District, Taipei City, Taiwan 105",Free,餐飲,Raohe night market. one the well known night market in Taipei. among the best. lots of food. not cheap tho. do come here to taste the street food of Taipei. This place is well connected with the metro station.,https://www.trip.com/travel-guide/attraction/taipei/raohe-night-market-10539673?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105e120009dndz8vDEDD_C_180_240_Q70.webp?proc=source%2ftrip
