basicName,subTitleName,rating,openDate,openTime,closeDate,closeTime,recommendStayTime,address,price,label,review,url,img
KidsAwesome Museum,KidsAwesome奧森兒童博物館, 5/5,"['Monday-Tuesday,Thursday-Sunday:']",['10:00-13:00;14:00-17:00'],N/A,N/A,2-3 hours,"No. 153號, Section 3, Xinyi Road, Da’an District, Taipei City, Taiwan 106",Free,,"The place is very good. 0 seconds to kill Shanghai Lilibao. All the fun is learning. It is not simple to play. This point, the American design is still good. There are many details and it is also very intimate.",https://www.trip.com/travel-guide/attraction/taipei/kidsawesome-museum-58374553?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww141200094abaet13F3_C_180_240_Q70.webp?proc=source%2ftrip
NTNU Art Museum,師大美術館, 4.8/5,['N/A'],['N/A'],N/A,N/A,1-2 hours,"No. 21-1, Lane 33, Lishui Street, Da’an District, Taipei City, Taiwan 106",Free,,"The Art Gallery of Normal University - by the young architect Chen Shengzhong, and the teachers of the Art Academy of Normal University, completed together, the architectural appearance integrates the avant-garde titanium plate architecture of Aerospace Technology, composed of 192 completely different triangles, reflecting the changing era. The gray and stable main tone, showing ""the startling glance of Taipei Lane"", especially after the completion of the whole, from different time, angle position have different light and shadow and feel geometric style.",https://www.trip.com/travel-guide/attraction/taipei/ntnu-art-museum-90840199?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105w2233zwx1zdsyB5E1_C_180_240_Q70.webp?proc=source%2ftrip
Butterfly & Insect Museum,蝴蝶宮昆蟲科學博物館(Only By Appointment ), 4.6/5,['Monday-Saturday:'],['10:00-16:00'],N/A,N/A,2-3 hours,"No. 71, Section 1, Jinan Road, Taipei",Free,,"A small museum in Success High School is very suitable for bringing children over. No tickets are required. It is very good. There are not many people to visit, but it is not easy to do this level of museums.",https://www.trip.com/travel-guide/attraction/taipei/butterfly-and-insect-museum-24341991?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100o120009ao308i2B69_C_180_240_Q70.webp?proc=source%2ftrip
Bangka Old Street,艋舺老街, 4.5/5,['Open daily'],['Open all day'],N/A,N/A,2-3 hours,"Section 2, Guiyang St., Taipei 108, Taiwan",Free,,There are still a lot of people in the old street during the day or at night. The surrounding area is an old building complex. It is also very historical. I like the feeling of people here. It is very humane. The bosses of the shops here are enthusiastic.,https://www.trip.com/travel-guide/attraction/taipei/bangka-old-street-24651673?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100h0q000000go31xEEE3_C_180_240_Q70.webp?proc=source%2ftrip
tai bei fa zhu gong miao,台北法主公廟,N/A,['Open daily'],['06:30-20:00'],N/A,N/A,N/A,103台灣省台北市大同區南京西路344巷2號,Free,,Taipei Fazhugong Temple is located in the prosperous Taipei area. It is a famous 5-story temple in Dadaocheng. The high space on the first floor can allow vehicles to pass and there is an elevator. It is worth visiting this special temple building.,https://www.trip.com/travel-guide/attraction/taipei/city-90916567?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0101a120008e75gxn3D47_C_180_240_Q70.webp?proc=source%2ftrip
Sanhe Night Market,三和夜市, 5/5,['N/A'],['N/A'],N/A,N/A,N/A,新北市三重區中央北路,Free,,"There is a favorable crispy pig near Taipei Sanzhong National Station, not far from the intersection of Sanhe Night Market. The boss fried pork is soft in the outer and inner. The business is not bad at night. It opened in 2022/7 last year. In fact, Sanhe Night Market is a very affordable night market in Taipei, and clothes are also cheaper. The price is relatively cheap compared to Raohe Night Market and Tonghua Night Market. There are also delicious pepper shrimps at the alley, half a catty of 250, a catty of 450. Everyone has the opportunity to go to Sanhe Night Market and find affordable food.",https://www.trip.com/travel-guide/attraction/new-taipei-city/sanhe-night-market-130369318?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1mh6x2215fyy8csa96140_C_180_240_Q70.webp?proc=source%2ftrip
Crescent Bridge,新月橋, 4.8/5,['Open daily'],['Open all day'],N/A,N/A,0.5-1 hour,"Huanhe Road, Banqiao District, Banqiao, New Taipei 22058 Taiwan",Free,,"Walking on the river bank in the evening - Today is the artificial wet area of Dahanxi Crescent Bridge and Xinhai. Under the printing of the sunset, the water hibiscus has a unique flavor. part 2",https://www.trip.com/travel-guide/attraction/new-taipei-city/crescent-bridge-23034946?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p0w000000k65592B5F_C_180_240_Q70.webp?proc=source%2ftrip
Wangyougu,望幽谷, 4.8/5,['Open daily'],['Open all day'],N/A,N/A,1-3 hours,"No. 61, Lane 369, Beining Road, Zhongzheng District, Keelung City",Free,,"Mango grass is opening, with the blue sky and green grass is beautiful, the weather is fine, and it takes about an hour to walk slowly. The perfect plan is to go to Chaojing Park first, walk 101 highlands and then walk 80 highlands, 65 platforms to pick up the valley, and finally take the Badouzi fishing port to take the car, which is more smooth. If you have online tickets, you can ride eight buckets of bicycles first~",https://www.trip.com/travel-guide/attraction/keelung/wangyougu-13505943?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100u0i0000009ddfz0EDB_C_180_240_Q70.webp?proc=source%2ftrip
Bali Old Street,八里渡船頭老街, 4.8/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Duchuantou St, Bali District, New Taipei City, Taiwan 249",Free,,"The first nine days of the public life, Taipei rarely saw sunny weather, walking on the left bank of the ferry, unexpectedly encountered the entire freshwater river water evaporation, the distance is under construction of the Danjiang Bridge Bridge tower, shrouded in a mist, overlooking the scenery like a fairyland.",https://www.trip.com/travel-guide/attraction/new-taipei-city/bali-old-street-39040238?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105j12000987i8dd0B0C_C_180_240_Q70.webp?proc=source%2ftrip
mu shan cha ye gu dao,木柵茶葉古道, 5/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Wenshan District, Taipei 116 Taiwan",Free,,"I love to take the ancient road of the tea industry, in the mountains and forests where the birds and tea are fragrant, taste the free glycol of Tieguanyin, rest quietly, and release all the pressure. This is Taipei City, but far from the hustle and bustle of the mountains and forests, and there is free Tieguanyin Fengcha to enjoy ^_^",https://www.trip.com/travel-guide/attraction/taipei/city-39040234?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0103412000cf6or66D9DD_C_180_240_Q70.webp?proc=source%2ftrip
Tamsui River Mangrove Nature Reserve,紅樹林自然保留區,N/A,['Open daily'],['Open all day'],N/A,N/A,1-3 hours,"251, Taiwan, New Taipei City, Tamsui District",Free,,"Freshwater Mangrove Nature Reserve - From bamboo fence to dragonfly, the area of 76 hectares of pen pen pure forest, for the most northerly distribution of pen pens in the world the largest area. Mangrove plants are named for their red bark and wood, and grow mainly in tropical and subtropical estuaries and seasides. Water pens with solid soil moisture and land security functions grow in wetlands in the estuary area, and wetland creatures such as tide crabs and scallop fish are bred in intertidal zones, and they are also national bird sanctuaries.",https://www.trip.com/travel-guide/attraction/new-taipei-city/tamsui-river-mangrove-nature-reserve-13480477?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106c120008g2mudy1F6F_C_180_240_Q70.webp?proc=source%2ftrip
nan gang zhan lan guan 2guan,南港展覽館二館, 4.7/5,['Open daily'],['09:00-22:00'],N/A,N/A,N/A,115台灣台北市南港區經貿二路2號,Free,,Walk around the architectural design of the futuristic Nangang Software Industrial Park in the evening of the weekend. part 2,https://www.trip.com/travel-guide/attraction/taipei/city-90916397?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100l1200098rwbk0F6A1_C_180_240_Q70.webp?proc=source%2ftrip
Jiaxing Park,嘉興公園, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Da’an District, Taipei City, Taiwan 106",Free,,"Beautiful scenery, super worth playing, great place to take pictures",https://www.trip.com/travel-guide/attraction/taipei/jiaxing-park-24650654?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p0n000000e0tjj7162_C_180_240_Q70.webp?proc=source%2ftrip
See-Join Puppets,敘舊布袋戲園,N/A,['N/A'],['N/A'],N/A,N/A,N/A,"No.2, Aly.16,Ln.41,Nanjing E. Rd.,Sec.2, Taipei, Taiwan",Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/see-join-puppets-58292194?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww6m12000946u3d44A98_C_180_240_Q70.webp?proc=source%2ftrip
Lengshuikeng Hot Springs,冷水坑溫泉,N/A,['Tuesday-Sunday:'],['10:30-13:00;6:00-9:00'],N/A,N/A,N/A,"No. 175號, Lane 101, Jingshan Rd, Shilin District, Taipei City, Taiwan 111",Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/lengshuikeng-hot-springs-136686008?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738_C_180_240_Q70.webp?proc=source%2ftrip
Austin Land,奧斯丁夢想樂園 板橋麗寶店, 4.5/5,['N/A'],['N/A'],N/A,N/A,N/A,"220, Taiwan, New Taipei City, Banqiao District, Section 2, Xianmin Blvd, 3號5樓",Free,,"The location is convenient, the venue is large and the maintenance is very clean. There are lockers for bags, there are restaurants, breastfeeding rooms, and there are many types of game items. The children have a great time.",https://www.trip.com/travel-guide/attraction/new-taipei-city/austin-land-141471999?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104a12000ceufoskAC23_C_180_240_Q70.webp?proc=source%2ftrip
Shamao Mountain,紗帽山, 4.5/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Beitou Dist. | Mt. Shamao, Taipei, Taiwan",Free,,"Yangmingshan National Park is a large park with many peaks, and Samao Mountain is just one of them. The mountain is not very high, only more than 600 meters. Mountaineering is relatively easy, and the surrounding vegetable is good.",https://www.trip.com/travel-guide/attraction/taipei/shamao-mountain-22846576?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww4312000946ffgf41B2_C_180_240_Q70.webp?proc=source%2ftrip
Children Amusement Park,北投公園孩童遊戲場, 5/5,['Open daily'],['Open all day'],N/A,N/A,N/A,By Shilin District MRT Yuanshan Station,Free,,"A newly rebuilt children's playground in Yuanshan Beiqian, there was a zoo in the early days, and the zoo was later relocated to the wooden gate. The whole area was upgraded and rebuilt. The focus was divided into two major pieces. One is a variety of mechanical amusement facilities suitable for children to play. This area needs to be sold separately. Another area was converted into a world of southern Anhui architecture yesterday, the whole area is full of various different ancient buildings, fully present the style of the early southern Anhui countryside, it is worth visiting, and it is free to open admission.",https://www.trip.com/travel-guide/attraction/taipei/children-amusement-park-39522058?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/35051e000001fsowuFBA9_C_180_240_Q70.webp?proc=source%2ftrip
桃園市立綜合體育館（桃園巨蛋）,N/A,N/A,['N/A'],['N/A'],N/A,N/A,N/A,330台灣桃園市桃園區三民路一段1號,Free,,N/A,https://www.trip.com/travel-guide/attraction/taoyuan/city-146230860?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C_C_180_240_Q70.webp?proc=source%2ftrip
Lovers Lake Park,情人湖公園, 4.7/5,['Open daily'],['Open all day'],N/A,N/A,1-3 hours,"Lane 208, Jijinyi Road, Anle District, Keelung City, Taiwan 204",Free,,"Lover Lake is beautiful and deft, and the beauty is approachable. It is like a girl next door. It is only an hour away, and you can appreciate the scenery of the lake and mountains. The steam locomotive displayed at the entrance of Lover Lake Scenic Area is a steam train that was driven in the early days of Taiwan Railway. It was manufactured in 1942 and only four are currently left in Taiwan. The Lover Lake Park Visitor Service Center provides guidebooks, toilets, water dispensers, and the best thing is that Lover Lake Park is free of charge.",https://www.trip.com/travel-guide/attraction/keelung/lovers-lake-park-13506045?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1002080000003fnr3A343_C_180_240_Q70.webp?proc=source%2ftrip
Hulin Park,虎林公園, 4/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Lane 307, Songde Rd, Xinyi District, Taipei City, Taiwan 110",Free,,"Every time I like to take a walk after dinner, take a good look at this park, it’s pretty good.",https://www.trip.com/travel-guide/attraction/taipei/hulin-park-24650391?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0103s120006j0f2n2BA65_C_180_240_Q70.webp?proc=source%2ftrip
hua shan wen chuang yuan qu hong zhuan lu he yuan xi 1guan,華山文創園區紅磚六合院西1館, 5/5,['Open daily'],['9:00-21:00'],N/A,N/A,N/A,100北平東路30-11號,Free,,"In 1917 (6 years of Japanese rule), Mitsui and Suzuki two chaebol joint venture established Taiwan Refined Cannabis Co., Ltd. The following year, in February 1918, Taiwan Refined Campanile Co., Ltd. merged into Nikko and became ""Japanese Campanile Co., Ltd. Taipei Branch"". The store is located in Kobe, Taipei is responsible for the production of refined campanile ""sublimation workshop"", located on the northwest side of the aroma winery. This is today’s “red brick courtyard.” The red brick courtyard is not only the second-longest building in Huashan Park, but also one of only two modern factories in Taiwan's existing Japanese-rule mid-term engaged in camphor processing and refining (the other is the South Gate Workshop of the Monopoly Bureau, now converted into the South Gate Park of Taiboguan); In May 2007, it was found that the only remaining Japanese-rule period refined camphor flue in Taiwan was listed as a historical building in October of the same year, witnessing the development of Taiwan's camphor industry.",https://www.trip.com/travel-guide/attraction/taipei/city-121152277?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/01A4m22158rd1wjq963B1_C_180_240_Q70.webp?proc=source%2ftrip
The Koo’s Dadaocheng Residence,大稻埕辜宅, 4.3/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"No. 9, Lane 303, Guisui St., Datong Dist., Taipei 103, Taiwan",Free,,Dadaoyan Pier is almost a must-see pilgrimage attraction every August! ! !,https://www.trip.com/travel-guide/attraction/taipei/the-koos-dadaocheng-residence-50546666?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105m120009bfubyt351F_C_180_240_Q70.webp?proc=source%2ftrip
Meiluen Mountain Park,美侖公園, 5/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"No. 190, Meilun St., Shilin Dist., Taipei, Taiwan",Free,,"Meilun Park - in the middle of Taipei New Children's Paradise, Taiwan Science Education Museum, Taipei Astronomical Science Education Museum, is a six-hectare oversized park, and is a rare large green park in Taipei City. The park has large lawns, old trees, sports space, children's amusement facilities, astronomical and scientific game displays, and the art of landscapes was added in 2017.",https://www.trip.com/travel-guide/attraction/taipei/meiluen-mountain-park-58312768?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0103c22155ckrc9uoF540_C_180_240_Q70.webp?proc=source%2ftrip
Zhuzihu Alocasia Garden,竹子湖海芋園, 4.8/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Beitou District, Taipei City, Taiwan 112",Free,,"Come here on a sunny day with three or five friends. There are many bamboo-woven gadgets in the village (the price is slightly more expensive). There are also many places to drink tea. We chose a yard outside the village, very close to Chongqing Road, too hot, everyone does not want to go shopping, simply drink tea and take pictures. The minimum consumption of tea is 15/cup. Reminder: Don't come on the weekend when the big sun is shining. There are many cars, many people, and the car is not easy to stop.",https://www.trip.com/travel-guide/attraction/taipei/zhuzihu-alocasia-garden-39037194?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1A0n13000000v4wmo8974_C_180_240_Q70.webp?proc=source%2ftrip
Dabangen Forest,大板根森林, 4.5/5,['N/A'],['N/A'],N/A,N/A,N/A,Gap in the Three Gorges area,Free,,"There are not many tourists in Dabangen, there are plants everywhere, and the weather is very powerful, quite a beautiful scenic spot, beautiful mountains and clear waters. The trees are shaded. And the air is particularly fresh, the sky is very blue and beautiful!",https://www.trip.com/travel-guide/attraction/new-taipei-city/dabangen-forest-92941?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104d12000brmr8tc34D9_C_180_240_Q70.webp?proc=source%2ftrip
Taoyuansian Valley,桃園仙谷, 4.3/5,['Open daily'],['8:00-17:00'],N/A,N/A,1-2 hours,"No.5-1, 5th Neighborhood, Shanggaorao Village, Fuxing District, Taoyuan County",Free,,"In addition to tulip fields, plum blossoms in January, cherry blossoms in February and peaches in March are the perfect matches for gathering in Xiangu during the winter, Tibet and spring.",https://www.trip.com/travel-guide/attraction/taoyuan/taoyuansian-valley-18039696?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww0r12000946e81m24AC_C_180_240_Q70.webp?proc=source%2ftrip
Taiwan Insect Museum,台灣昆蟲館, 4.1/5,"['Wednesday-Friday:', 'Saturday-Sunday:']","['16:00-21:00', '12:00-20:00']",N/A,N/A,N/A,"No. 43, Ln. 244, Rui'an St., Da'an Dist, Taipei, Taiwan",Free,,This is a very outgoing Museum of insects in Taiwan. It is very famous both in Taiwan and in the world. There are many kinds of insects in it. It can broaden one's horizon very well and is worth visiting.,https://www.trip.com/travel-guide/attraction/taipei/taiwan-insect-museum-22847510?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww6h120009471v84EF8C_C_180_240_Q70.webp?proc=source%2ftrip
陽明山菁山遊憩區露營區,N/A,N/A,['N/A'],['N/A'],N/A,N/A,N/A,111台灣台北市士林區菁山路101巷71弄16號,Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/city-146217802?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738_C_180_240_Q70.webp?proc=source%2ftrip
bei tou la ji fen hua chang zhu ti guan,北投垃圾焚化廠主題館, 5/5,['Tuesday-Sunday:'],['8:30-21:00'],N/A,N/A,N/A,112台灣台北市北投區洲美街271號,Free,,"The scenery here is unique, the scenery here is unique",https://www.trip.com/travel-guide/attraction/taipei/city-136686325?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153_C_180_240_Q70.webp?proc=source%2ftrip
BABY嘟嘟房兒童超跑 童車出租 童車販售 婚禮花童禮車 活動租車,N/A,N/A,['N/A'],['N/A'],N/A,N/A,N/A,"10491, Taiwan, Taipei City, Zhongshan District, Yumen St, 1號兒童體適能區Baby嘟嘟房(爭豔館旁",Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/city-146794291?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738_C_180_240_Q70.webp?proc=source%2ftrip
Chiao-Hu Wonderland,巧虎夢想樂園, 5/5,"['Monday-Friday:', 'Saturday-Sunday:']","['11:30-18:00', '10:00-18:30']",N/A,N/A,N/A,32056台灣桃園市中壢區春德路103號置地廣場內1樓,Free,,My daughter likes ～ very much.,https://www.trip.com/travel-guide/attraction/taoyuan/chiao-hu-wonderland-143198288?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1lo4412000dzc6ci6A720_C_180_240_Q70.webp?proc=source%2ftrip
Shimen Cave,石門洞, 4.6/5,['Open daily'],['00:00-23:59'],N/A,N/A,1-3 hours,"Jianlu Vil., Shimen Dist., Shimen, New Taipei 253 Taiwan",Free,,Nice spot up on the very north coast. We went to watch the sunset on the beach.,https://www.trip.com/travel-guide/attraction/new-taipei-city/shimen-cave-10539746?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1009060000001ekrh8806_C_180_240_Q70.webp?proc=source%2ftrip
sun zhong shan ji nian guan - bo ai yi lang,孫中山紀念館-博愛藝廊,N/A,['Open daily'],['Opening hours TBD'],N/A,N/A,N/A,110054臺北市信義區仁愛路四段505號1樓,Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/city-121152129?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g1/M03/AF/64/CghzfFW7IBCAUbLaAAAlnuKOkAQ344_C_180_240_Q70.webp?proc=source%2ftrip
Jurassic Museum,侏羅紀博物館, 5/5,['N/A'],['N/A'],N/A,N/A,N/A,"No. 125, Section 1, Xinnan Road B1, Luzhu District, Taoyuan 338 Taiwan",Free,,Interesting.,https://www.trip.com/travel-guide/attraction/taoyuan/jurassic-museum-51634551?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww3v1200094bchu97773_C_180_240_Q70.webp?proc=source%2ftrip
Gui Shan Dao Seafood Restaurant,龜山島, 5/5,['N/A'],['N/A'],N/A,N/A,N/A,"No. 71, Section 2, Anhe Road, Daan District",Free,,It is recommended to arrange a glide trip to see the beautiful scenery of Guishan Island.,https://www.trip.com/travel-guide/attraction/taipei/gui-shan-dao-seafood-restaurant-51628701?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104l12000as1nszfF204_C_180_240_Q70.webp?proc=source%2ftrip
