basicName,subTitleName,rating,openDate,openTime,address,price,label,review,url,img,monOpen,monClose,tuesOpen,tuesClose,wedOpen,wedClose,thursOpen,thursClose,friOpen,friClose,satOpen,satClose,sunOpen,sunClose,recommend,monTime,tuesTime,wedTime,thursTime,friTime,satTime,sunTime
Taipei Palace Museum,臺北故宮博物院,4.7,['Tuesday-Sunday'],['09:00-17:00 (Tickets available until:16:30)'],"No. 221, Sec 2, Zhi Shan Rd, Shilin District, Taipei City, Taiwan 111",137.4,觀光,This place is valuable for everyone who's love the Taiwan's history and culture. I love this place so much.,https://www.trip.com/travel-guide/attraction/taipei/taipei-palace-museum-80595?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g4/M01/72/7D/CggYHFY7F7iAF6-bAAtq3wFHDJY069_C_180_240_Q70.jpg?proc=source%2ftrip,0.0,0.0,540.0,1020.0,540.0,1020.0,540.0,1020.0,540.0,1020.0,540.0,1020.0,540.0,1020.0,3.5,0,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00
TAIPEI 101,台北101大樓,4.6,['Open daily'],['10:00-21:00'],"No. 7, Section 5, Xinyi Rd, Xinyi District, Taipei City, Taiwan 110",0,觀光,An incredible place to visit this is used to be the tallest building in the world.,https://www.trip.com/travel-guide/attraction/taipei/taipei-101-10758289?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100l0g0000007s1t1ADA4_C_180_240_Q70.jpg?proc=source%2ftrip,600.0,1260.0,600.0,1260.0,600.0,1260.0,600.0,1260.0,600.0,1260.0,600.0,1260.0,600.0,1260.0,3.0,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00
Shilin Night Market,士林夜市,4.5,['Open daily'],['16:00-00:00'],"No. 101 Jihe Road, Shilin District, Taipei City",0,餐飲,"dont forget to visit here when you travel to Taipei, it is a famous night market in Taipei. there are many food courts and fried chicken is one of delicious things",https://www.trip.com/travel-guide/attraction/taipei/shilin-night-market-10524212?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100o1f000001gp48p077E_C_180_240_Q70.jpg?proc=source%2ftrip,960.0,1440.0,960.0,1440.0,960.0,1440.0,960.0,1440.0,960.0,1440.0,960.0,1440.0,960.0,1440.0,2.5,16:00-24:00,16:00-24:00,16:00-24:00,16:00-24:00,16:00-24:00,16:00-24:00,16:00-24:00
Taipei Zoo,台北市立動物園,4.8,['Open daily'],['09:00-17:00 (Latest entry time:16:00)'],"No. 30, Sec.2, Xinguang Rd., Wenshan Dist., Taipei City 116016",81.9,活動,"A zoo experience beyond expectations, especially in a large cage, it seems that an ecological park has a very immersive experience, and there is no need to worry about the people chasing you. The road is very wide. There are many park animals. There are many places to receive water in the park. Just entered the door and there is a map to take. It is very convenient. Taipei Zoo is really worth a visit.",https://www.trip.com/travel-guide/attraction/taipei/taipei-zoo-80594?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1lo3w12000c6n3ma502C9_C_180_240_Q70.jpg?proc=source%2ftrip,540.0,1020.0,540.0,1020.0,540.0,1020.0,540.0,1020.0,540.0,1020.0,540.0,1020.0,540.0,1020.0,2.5,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00
MaoKong,貓空,4.5,['Open daily'],['09:00-21:00'],"Wenshan District, Taipei City, Taiwan 116",0,活動,"Take the cable car to enjoy the scenery of Taipei City, along the way is also green, the mountain wind is relatively large, it feels cool. There are many shops selling tea, and the clerks are warm and friendly.",https://www.trip.com/travel-guide/attraction/taipei/maokong-85951?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100v1f000001h1aosAA77_C_180_240_Q70.jpg?proc=source%2ftrip,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,2.5,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00
Maokong Gondola,貓空纜車,4.7,"['Tuesday-Friday', 'Saturday-Sunday']","['09:00-21:00', '09:00-22:00']","No. 8, Section 2, Xinguang Road, Wenshan District, Taipei, Taiwan",221.4,活動,"Visited Maokong and admire the view of Taipei, especially when you can see Taipei 101 when you are standing on the top of the mountain!",https://www.trip.com/travel-guide/attraction/taipei/maokong-gondola-10572530?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100i1f000001gp4tm4F48_C_180_240_Q70.jpg?proc=source%2ftrip,0.0,0.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1320.0,540.0,1320.0,1.5,0,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-22:00,09:00-22:00
Chiang Kai-shek Memorial Hall,國立中正紀念堂,4.6,['Open daily'],['9:00-18:00'],"No. 21, Zhongshan South Road, Zhongzheng District, Taipei City",0,觀光,Came here in the late afternoon so it was cooler but the sky was just beautiful with such a large landscape of garden plots and sight of memorial hall. The contrast of white building against the blue sky was perfect for photography. Watch the flag lowering at CKS.,https://www.trip.com/travel-guide/attraction/taipei/chiang-kai-shek-memorial-hall-80598?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100a0m000000drveuCE84_C_180_240_Q70.jpg?proc=source%2ftrip,540.0,1080.0,540.0,1080.0,540.0,1080.0,540.0,1080.0,540.0,1080.0,540.0,1080.0,540.0,1080.0,1.0,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00
Liberty Square,自由廣場,4.6,['Open daily'],['Open all day'],"No. 21, Zhongshan S Rd, Zhongzheng District, Taipei City, Taiwan 100",0,觀光,"The main entrance of Liberty Square is the most magnificent archway in Taiwan and an important place for Taipei's civic arts and leisure activities. The square often hosts various large concerts and concerts, and the ""Taipei Lighting Festival"" is also held here every year. Theatre and concert halls on both sides are the main town of Taipei's literary and artistic performances. Peace Pigeons are frequent visitors to Liberty Square, where they can take photos, interact and feed. As night fell, the tall archway was illuminated by bright yellow lights, the golden wall was brilliant, majestic.",https://www.trip.com/travel-guide/attraction/taipei/liberty-square-10522872?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p1f000001gpfdcD291_C_180_240_Q70.jpg?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,1.0,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00
National Dr. Sun Yat-Sen Memorial Hall,孫中山紀念館,4.6,['Open daily'],['9:00-18:00'],"No. 505號, Section 4, Ren'ai Rd, Xinyi District, Taipei City, Taiwan 110",0,觀光,A memorial hall im dedication to the contribution of Dr Sun Yat Sen in Taipei.,https://www.trip.com/travel-guide/attraction/taipei/national-dr-sun-yat-sen-memorial-hall-80593?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100e1f000001gszgpCBFD_C_180_240_Q70.jpg?proc=source%2ftrip,540.0,1080.0,540.0,1080.0,540.0,1080.0,540.0,1080.0,540.0,1080.0,540.0,1080.0,540.0,1080.0,2.5,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00
Taipei 101 Observatory,台北101觀景台,4.6,['Open daily'],['10:00-21:00 (Latest entry time:20:15)'],"89th Floor, No. 7, Section 5, Xinyi Road, Xinyi District, Taipei City",540.0,觀光,"The second time I came to Taipei 101 Building, there are still so many tourists. This is one of the classic attractions that must be played in Taipei. No matter whether you think it is interesting or not, you have to check in. The surrounding business districts are also good.",https://www.trip.com/travel-guide/attraction/taipei/taipei-101-observatory-23865324?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104s120008c1i1tj7E6F_C_180_240_Q70.jpg?proc=source%2ftrip,600.0,1260.0,600.0,1260.0,600.0,1260.0,600.0,1260.0,600.0,1260.0,600.0,1260.0,600.0,1260.0,2.5,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00
